post_id,categories,tags,title,url,featured_image,primary_category,published_time,author,excerpt,scraped_at,source_website
post-46037,people,"gdpu, gulu-disabled-persons-union-gdpu",GDPU installs studio to advance music productions for the disabled,https://tndnewsuganda.com/2025/08/20/gdpu-installs-studio-to-advance-music-productions-for-the-disabled/,https://tndnewsuganda.com/wp-content/uploads/2025/08/Bedmot-Andrew.jpg,People,10 hours ago,By Okot Lil Romeo,The real data on disabilities in Gulu District and Gulu City is not accurate. Current estimates…,2025-08-20 23:12:18,TND News Uganda
post-46032,crime,"grandfather, grandson, otuke, shs10k","Otuke: Grandson, 25, stabs grandfather, 76, to death over shs10k",https://tndnewsuganda.com/2025/08/20/otuke-grandson-25-stabs-grandfather-76-to-death-over-shs10k/,https://tndnewsuganda.com/wp-content/uploads/2025/08/10k.jpg,Crime,14 hours ago,By Arao Denis,"A team of police officers from Otuke CPS visited and examined the crime scene, thoroughly documenting…",2025-08-20 23:12:19,TND News Uganda
post-46029,senegal,"prime-minister-sonko, senegal, tobacco",Senegal moves to increase tobacco taxes to save lives,https://tndnewsuganda.com/2025/08/20/senegal-moves-to-increase-tobacco-taxes-to-save-lives/,https://tndnewsuganda.com/wp-content/uploads/2025/08/tobacco.jpg,Senegal,15 hours ago,By TND News & Agency,Prime Minister Sonko and the government of Senegal must stand up to tobacco industry bullying and…,2025-08-20 23:12:19,TND News Uganda
post-46025,politics,"denis-opio-eila, leo-elem, upc","Opio, Obote shared 12% as Elem wins UPC flag for Moroto County",https://tndnewsuganda.com/2025/08/19/opio-obote-shared-12-as-elem-wins-upc-flag-for-moroto-county/,https://tndnewsuganda.com/wp-content/uploads/2025/07/olem.jpg,Politics,1 day ago,By Arao Denis,"Confident in his vision for Moroto County, Elem vowed to challenge rival parties, including NRM, FDC,…",2025-08-20 23:12:20,TND News Uganda
post-46020,dokolo,"dokolo, hailstorms",Hailstorm destroys crops in seven villages in Dokolo,https://tndnewsuganda.com/2025/08/19/hailstorm-destroys-crops-in-seven-villages-in-dokolo/,https://tndnewsuganda.com/wp-content/uploads/2025/08/Doko.jpg,Dokolo,1 day ago,By OUR REPORTER,The hailstorm comes at a time when many families in Dokolo rely heavily on the second…,2025-08-20 23:12:20,TND News Uganda
post-46015,politics,"dokolo, sarah-aguti-nyangkori, upc-flag",Dokolo UPC registrar declares MP Aguti flag bearer,https://tndnewsuganda.com/2025/08/18/dokolo-upc-registrar-declares-mp-aguti-flag-bearer/,https://tndnewsuganda.com/wp-content/uploads/2025/08/tbd.jpg,Politics,2 days ago,By Arao Denis,"Dokolo woman MP Aguti Nyangkori secured a resounding victory with 3,657 votes, while her opponent garnered…",2025-08-20 23:12:21,TND News Uganda
post-46011,crime,"dokolo, lira, murders-in-lango, north-kyoga-region, oyam, sp-okema","Four murder cases rock Oyam, Lira and Dokolo as police launch manhunts",https://tndnewsuganda.com/2025/08/18/four-murder-cases-rock-oyam-lira-and-dokolo-as-police-launch-manhunts/,https://tndnewsuganda.com/wp-content/uploads/2025/08/SP-Okema.jpg,Crime,2 days ago,By OUR REPORTER,"In neighboring Lira district, three suspects are in custody following the death of Apita Emmanuel of…",2025-08-20 23:12:21,TND News Uganda
post-46006,politics,"dokolo, fdc, nrm",Dokolo: Dr. Lalam turns blue ahead of 2026 polls,https://tndnewsuganda.com/2025/08/18/dokolo-dr-lalam-turns-blue-ahead-of-2026-polls/,https://tndnewsuganda.com/wp-content/uploads/2025/08/lalam.jpg,Politics,3 days ago,By OUR REPORTER,"Dr. Lalam Atine has appealed for the Dokolo voters' support to secure the Woman MP seat,…",2025-08-20 23:12:22,TND News Uganda
post-46001,church-news,"archbishop-kaziimba-mugalu, kamwenge, rwenzori-diocese",East Rwenzori Diocese celebrates 16 years of existence,https://tndnewsuganda.com/2025/08/18/east-rwenzori-diocese-celebrates-16-of-existence/,https://tndnewsuganda.com/wp-content/uploads/2025/08/20250818_084427.jpg,Church News,3 days ago,By TND News & Agency,"Clergy training has greatly advanced in Rwenzori Diocese, with priests attaining higher academic qualifications, including diplomas,…",2025-08-20 23:12:22,TND News Uganda
post-45991,lango,"dr-samuel-opio-acuti, lango-cattle-compensation, lango-leaders, museveni",Museveni pledges lasting cattle compensation as Lango leaders push,https://tndnewsuganda.com/2025/08/18/museveni-pledges-lasting-cattle-compensation-as-lango-leaders-push/,https://tndnewsuganda.com/wp-content/uploads/2025/08/Dr-Opio.jpg,Lango,3 days ago,By Joseph Okul,"President Museveni made the pledge on Sunday, August 17, 2025, while addressing religious, cultural, and political…",2025-08-20 23:12:23,TND News Uganda
